,state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,average_hourly_night_rate,average_hourly_day_rate,average_hourly_intl_rate,average_hourly_eve_rate,total_minutes,state,international plan,voice mail plan,churn
2404,WA,56,no,no,0,210.4,80,35.77,176.6,96,15.01,149.7,56,6.74,15.5,4,4.19,1,22.2106824925816,5.882024042493709,3.699284009546539,11.765489673550967,552.2,WA,no,no,False
3329,WV,68,no,no,0,231.1,57,39.29,153.4,55,13.04,191.3,123,8.61,9.6,4,2.59,3,22.218350754936125,5.881903792313566,3.7065637065637067,11.763803680981596,585.4,WV,no,no,False
2530,WA,82,no,no,0,265.2,122,45.08,178.7,102,15.19,174.7,90,7.86,10.7,9,2.89,2,22.2264631043257,5.882874889086069,3.702422145328719,11.764318630678078,629.3,WA,no,no,False
1399,AZ,104,no,no,0,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,11.7,2,3.16,4,22.2119341563786,5.882765882765883,3.70253164556962,11.765968867418144,614.4,AZ,no,no,False
2778,VT,68,no,no,0,158.8,119,27.0,211.8,105,18.0,198.1,101,8.91,10.3,3,2.78,1,22.2334455667789,5.881481481481482,3.705035971223022,11.766666666666667,579.0,VT,no,no,False
1274,AL,111,no,no,0,176.4,62,29.99,201.0,124,17.09,150.4,138,6.77,11.2,2,3.02,0,22.21565731166913,5.881960653551184,3.7086092715231787,11.761263897015798,539.0,AL,no,no,False
2738,AL,88,no,no,0,181.9,90,30.92,151.5,87,12.88,143.0,100,6.44,7.5,3,2.03,1,22.204968944099377,5.8829236739974125,3.6945812807881775,11.762422360248447,483.9,AL,no,no,False
2110,CT,102,no,yes,25,137.4,100,23.36,176.7,83,15.02,188.2,93,8.47,10.2,6,2.75,2,22.219598583234944,5.881849315068494,3.709090909090909,11.764314247669773,512.5,CT,no,yes,False
1610,RI,104,yes,no,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,22.217391304347828,5.8819215254858825,3.7058823529411766,11.76541232986389,773.5,RI,yes,no,False
2831,WV,36,no,no,0,175.1,144,29.77,216.9,69,18.44,243.7,146,10.97,9.9,3,2.67,1,22.215132178669094,5.881760161236143,3.707865168539326,11.762472885032537,645.5999999999999,WV,no,no,False
1619,NH,149,no,no,0,119.2,88,20.26,168.3,110,14.31,204.7,119,9.21,12.2,6,3.29,4,22.225841476655805,5.883514313919052,3.708206686930091,11.761006289308176,504.4,NH,no,no,True
2023,OK,87,no,no,0,205.2,106,34.88,99.5,122,8.46,189.5,75,8.53,13.4,3,3.62,1,22.21570926143025,5.883027522935779,3.701657458563536,11.761229314420802,507.59999999999997,OK,no,no,False
776,AL,61,no,yes,20,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0,22.22811671087533,5.882080924855491,3.6971830985915495,11.768558951965064,678.0,AL,no,yes,False
3114,DE,139,no,no,0,139.0,110,23.63,132.9,93,11.3,272.0,120,12.24,12.1,1,3.27,0,22.22222222222222,5.882352941176471,3.7003058103975532,11.761061946902654,556.0,DE,no,no,False
3064,CO,130,no,no,0,271.8,129,46.21,237.2,128,20.16,210.1,91,9.45,8.7,2,2.35,4,22.232804232804234,5.881843756762605,3.7021276595744674,11.765873015873016,727.8,CO,no,no,True
1184,ME,69,no,no,0,194.2,122,33.01,242.1,81,20.58,215.8,80,9.71,9.7,3,2.62,2,22.224510813594232,5.883065737655256,3.7022900763358773,11.763848396501459,661.8,ME,no,no,False
2981,NY,46,no,no,0,122.2,67,20.77,167.2,62,14.21,194.8,98,8.77,9.7,6,2.62,1,22.212086659064997,5.88348579682234,3.7022900763358773,11.766361717100631,493.9,NY,no,no,False
1880,CT,56,no,no,0,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4.0,4,22.217391304347824,5.882566147154766,3.7,11.767955801104971,581.7,CT,no,no,True
1093,VA,210,no,no,0,104.6,121,17.78,149.5,71,12.71,255.1,67,11.48,6.5,8,1.76,2,22.221254355400696,5.8830146231721026,3.6931818181818183,11.762391817466561,515.7,VA,no,no,False
2761,TN,88,no,no,0,181.5,116,30.86,187.0,119,15.9,220.3,96,9.91,10.5,7,2.84,1,22.230070635721493,5.881399870382372,3.6971830985915495,11.761006289308176,599.3,TN,no,no,False
2615,WV,100,no,no,0,166.0,102,28.22,236.1,97,20.07,134.3,93,6.04,10.9,4,2.94,1,22.235099337748345,5.882352941176471,3.7074829931972793,11.763826606875934,547.3,WV,no,no,False
1333,NV,7,no,yes,30,221.4,114,37.64,165.8,116,14.09,247.0,105,11.12,10.8,12,2.92,1,22.21223021582734,5.8820403825717325,3.6986301369863015,11.767210787792761,645.0,NV,no,yes,False
2358,KY,71,no,no,0,104.0,92,17.68,197.0,125,16.75,110.1,123,4.95,14.6,8,3.94,0,22.242424242424242,5.882352941176471,3.7055837563451774,11.761194029850746,425.7,KY,no,no,False
1937,IN,100,no,yes,33,218.7,104,37.18,155.0,144,13.18,99.0,117,4.46,12.1,4,3.27,1,22.19730941704036,5.8821947283485745,3.7003058103975532,11.760242792109256,484.8,IN,no,yes,False
811,FL,58,no,no,0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,22.229140722291408,5.881763527054108,3.707865168539326,11.762114537444933,530.0,FL,no,no,False
2030,KS,57,no,yes,37,201.2,76,34.2,280.1,122,23.81,154.2,110,6.94,11.8,1,3.19,1,22.21902017291066,5.883040935672514,3.699059561128527,11.763964720705587,647.3,KS,no,yes,False
1414,VA,182,no,no,0,176.1,90,29.94,174.9,106,14.87,234.7,134,10.56,9.7,4,2.62,1,22.225378787878785,5.881763527054108,3.7022900763358773,11.76193678547411,595.4,VA,no,no,False
3035,ME,88,no,no,0,85.7,112,14.57,221.6,70,18.84,190.6,75,8.58,11.6,3,3.13,4,22.214452214452212,5.881949210706932,3.7060702875399363,11.762208067940552,509.5,ME,no,no,True
2069,OR,53,no,no,0,261.2,119,44.4,250.8,105,21.32,176.0,112,7.92,9.8,2,2.65,0,22.22222222222222,5.882882882882883,3.6981132075471703,11.76360225140713,697.8,OR,no,no,True
2427,ID,83,no,no,0,159.3,104,27.08,202.3,98,17.2,229.0,73,10.31,9.5,3,2.57,2,22.21144519883608,5.882570162481537,3.6964980544747084,11.761627906976745,600.1,ID,no,no,False
2122,MS,69,no,yes,27,268.8,78,45.7,246.6,89,20.96,271.9,102,12.24,16.4,3,4.43,0,22.214052287581698,5.8818380743982495,3.7020316027088036,11.765267175572518,803.7,MS,no,yes,False
1171,TX,32,no,no,0,157.9,88,26.84,180.8,132,15.37,132.5,102,5.96,12.8,3,3.46,1,22.231543624161073,5.88301043219076,3.6994219653179194,11.763175016265453,484.0,TX,no,no,False
969,SC,93,no,no,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,22.222222222222225,5.883080729972162,3.6974789915966393,11.763122476446837,591.2,SC,no,no,False
3222,UT,61,yes,yes,29,128.2,119,21.79,171.7,83,14.59,250.9,114,11.29,11.7,6,3.16,3,22.22320637732507,5.883432767324461,3.70253164556962,11.768334475668265,562.5,UT,yes,yes,False
2369,NY,112,no,no,0,174.3,123,29.63,140.2,124,11.92,215.4,89,9.69,9.0,6,2.43,4,22.229102167182663,5.882551468106649,3.7037037037037033,11.761744966442953,538.9000000000001,NY,no,no,True
400,GA,98,no,yes,31,121.0,105,20.57,218.9,98,18.61,226.7,110,10.2,12.0,1,3.24,1,22.225490196078432,5.88235294117647,3.7037037037037033,11.762493283181087,578.6,GA,no,yes,False
587,NH,114,no,no,0,169.6,85,28.83,58.9,86,5.01,179.3,124,8.07,7.4,8,2.0,1,22.2180916976456,5.882761012833853,3.7,11.756487025948104,415.19999999999993,NH,no,no,False
954,CA,158,no,no,0,155.9,123,26.5,224.2,112,19.06,221.0,116,9.95,8.6,8,2.32,2,22.211055276381913,5.8830188679245285,3.706896551724138,11.762854144805877,609.7,CA,no,no,False
708,ID,83,yes,yes,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2,22.21729490022173,5.881987577639751,3.7062937062937062,11.76829268292683,460.1,ID,yes,yes,False
433,SC,78,no,no,0,155.0,106,26.35,175.3,101,14.9,155.6,125,7.0,11.8,5,3.19,2,22.228571428571428,5.88235294117647,3.699059561128527,11.76510067114094,497.70000000000005,SC,no,no,False
1700,VT,93,no,yes,32,218.7,117,37.18,115.0,61,9.78,192.7,85,8.67,9.4,5,2.54,2,22.226066897347174,5.8821947283485745,3.7007874015748032,11.758691206543968,535.8,VT,no,yes,False
293,CT,96,no,yes,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,22.232510288065843,5.882152588555858,3.705035971223022,11.76297747306562,519.1999999999999,CT,no,yes,True
145,MI,140,no,no,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,22.213279678068414,5.882800608828006,3.7046632124352334,11.763409257898605,516.7,MI,no,no,False
324,VA,129,no,no,0,207.0,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,22.221214868540347,5.882352941176471,3.701657458563536,11.76157934700076,620.4,VA,no,no,False
2873,NJ,35,no,no,0,158.6,67,26.96,130.4,96,11.08,229.8,80,10.34,6.9,5,1.86,2,22.224371373307545,5.882789317507418,3.7096774193548385,11.768953068592058,525.6999999999999,NJ,no,no,False
2347,IL,68,yes,yes,29,195.5,113,33.24,171.6,96,14.59,204.0,85,9.18,13.5,9,3.65,1,22.22222222222222,5.881468110709988,3.6986301369863015,11.761480466072653,584.6,IL,yes,yes,True
1173,VT,109,no,no,0,222.2,113,37.77,218.5,122,18.57,266.0,88,11.97,10.9,5,2.94,1,22.22222222222222,5.882975906804341,3.7074829931972793,11.76628971459343,717.5999999999999,VT,no,no,False
1463,ID,87,no,no,0,156.8,93,26.66,215.8,68,18.34,223.3,77,10.05,7.6,6,2.05,1,22.218905472636816,5.8814703675918985,3.707317073170732,11.766630316248637,603.5,ID,no,no,False
2,NJ,137,no,no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,22.21311475409836,5.882068632189463,3.708206686930091,11.766990291262136,539.4,NJ,no,no,False
1724,SC,100,no,no,0,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,1,22.219321148825063,5.883248730964468,3.6979166666666665,11.765327695560252,404.50000000000006,SC,no,no,False
579,CT,72,no,yes,21,186.7,108,31.74,335.0,86,28.48,187.2,119,8.42,16.5,4,4.46,1,22.232779097387173,5.882167611846251,3.6995515695067267,11.762640449438202,725.4,CT,no,yes,False
2960,TX,1,no,no,0,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,10.0,3,2.7,5,22.23357664233577,5.8817829457364335,3.7037037037037033,11.761115954664342,479.29999999999995,TX,no,no,True
340,GA,89,no,no,0,213.0,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1,22.216582064297803,5.88235294117647,3.6991869918699187,11.765489673550967,661.3000000000001,GA,no,no,True
1391,NE,86,no,yes,29,157.2,118,26.72,196.3,136,16.69,226.7,109,10.2,8.4,5,2.27,3,22.225490196078432,5.883233532934131,3.7004405286343616,11.761533852606352,588.5999999999999,NE,no,yes,False
1960,TX,38,no,no,0,149.0,92,25.33,49.2,78,4.18,163.3,93,7.35,13.9,11,3.75,0,22.217687074829936,5.882352941176471,3.7066666666666666,11.770334928229667,375.4,TX,no,no,False
931,WV,77,no,no,0,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12.0,2,3.24,1,22.227443609022554,5.881841876629019,3.7037037037037033,11.767889356584487,511.9,WV,no,no,False
266,RI,114,no,yes,28,225.8,94,38.39,193.0,117,16.41,232.4,100,10.46,8.4,9,2.27,4,22.21797323135755,5.88174003646783,3.7004405286343616,11.761121267519805,659.6,RI,no,yes,False
378,MO,95,yes,no,0,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1,22.22346368715084,5.881307746979389,3.6977491961414795,11.763255240443897,662.0999999999999,MO,yes,no,True
2605,NE,147,no,yes,38,243.4,126,41.38,273.8,109,23.27,282.9,91,12.73,14.1,8,3.81,2,22.223095051060483,5.882068632189463,3.700787401574803,11.766222604211432,814.2,NE,no,yes,False
1783,IL,85,no,yes,29,144.6,97,24.58,140.0,102,11.9,165.4,148,7.44,10.9,3,2.94,1,22.231182795698924,5.882831570382425,3.7074829931972793,11.76470588235294,460.9,IL,no,yes,False
1474,PA,140,no,no,0,112.8,89,19.18,156.7,65,13.32,249.6,85,11.23,16.3,6,4.4,0,22.226179875333926,5.881126173096976,3.7045454545454546,11.764264264264263,535.4,PA,no,no,False
272,AL,49,no,yes,28,214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,8.0,13,2.16,3,22.219827586206897,5.882030178326474,3.7037037037037033,11.765882941470736,663.8,AL,no,yes,False
700,WV,121,no,no,0,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0,22.220744680851066,5.882687927107062,3.702422145328719,11.76845943482224,410.19999999999993,WV,no,no,False
3303,WI,114,no,yes,26,137.1,88,23.31,155.7,125,13.23,247.6,94,11.14,11.5,7,3.11,2,22.226211849192097,5.8815958815958815,3.6977491961414795,11.768707482993197,551.9,WI,no,yes,False
245,SC,22,no,no,0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,22.230769230769234,5.882666666666666,3.6964980544747084,11.76678445229682,488.6,SC,no,no,False
3125,IA,40,no,no,0,169.7,115,28.85,141.4,123,12.02,253.0,115,11.39,10.5,3,2.84,4,22.21246707638279,5.88214904679376,3.6971830985915495,11.763727121464226,574.6,IA,no,no,True
478,AZ,140,no,no,0,149.8,134,25.47,164.4,98,13.97,294.7,124,13.26,8.1,2,2.19,1,22.22473604826546,5.881429132312525,3.6986301369863015,11.7680744452398,617.0,AZ,no,no,False
2834,IN,189,no,no,0,219.9,80,37.38,143.3,117,12.18,130.6,69,5.88,11.7,7,3.16,1,22.210884353741495,5.88282504012841,3.70253164556962,11.765188834154353,505.5,IN,no,no,False
2116,MD,29,no,no,0,195.6,71,33.25,126.4,74,10.74,148.6,87,6.69,14.2,4,3.83,1,22.212257100149476,5.882706766917293,3.7075718015665795,11.769087523277468,484.79999999999995,MD,no,no,False
818,NM,153,no,no,0,185.3,127,31.5,208.0,73,17.68,206.1,124,9.27,15.1,3,4.08,1,22.233009708737864,5.882539682539683,3.7009803921568625,11.764705882352942,614.5,NM,no,no,False
2065,NJ,113,no,no,0,186.0,55,31.62,237.4,105,20.18,148.1,83,6.66,12.2,6,3.29,1,22.237237237237235,5.88235294117647,3.708206686930091,11.764122893954411,583.7,NJ,no,no,False
1926,ME,39,no,no,0,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,9.8,4,2.65,2,22.21970554926387,5.881679389312977,3.6981132075471703,11.762672811059907,564.3,ME,no,no,False
2078,AZ,100,no,no,0,131.1,108,22.29,176.2,81,14.98,89.7,81,4.04,4.3,4,1.16,1,22.202970297029704,5.881561238223418,3.706896551724138,11.762349799732975,401.3,AZ,no,no,False
2817,WI,90,no,no,0,61.3,91,10.42,194.4,94,16.52,143.1,80,6.44,11.4,9,3.08,1,22.220496894409937,5.882917466410748,3.7012987012987013,11.767554479418887,410.2,WI,no,no,False
3094,MN,91,no,no,0,133.8,61,22.75,158.8,96,13.5,189.6,92,8.53,10.5,2,2.84,1,22.227432590855805,5.881318681318682,3.6971830985915495,11.762962962962964,492.7,MN,no,no,False
3279,NJ,139,no,yes,43,231.0,85,39.27,222.3,82,18.9,148.0,105,6.66,8.3,5,2.24,2,22.22222222222222,5.88235294117647,3.705357142857143,11.761904761904763,609.6,NJ,no,yes,False
1172,MA,166,no,no,0,203.4,81,34.58,167.7,110,14.25,132.0,124,5.94,9.2,5,2.48,2,22.22222222222222,5.882012724117987,3.7096774193548385,11.768421052631577,512.3,MA,no,no,False
1816,OR,53,no,no,0,184.8,98,31.42,216.4,125,18.39,141.1,116,6.35,18.4,3,4.97,2,22.22047244094488,5.88160407383832,3.7022132796780682,11.76726481783578,560.6999999999999,OR,no,no,False
2415,DC,114,no,no,0,147.1,119,25.01,161.0,111,13.69,275.9,106,12.42,9.0,3,2.43,5,22.214170692431562,5.881647341063574,3.7037037037037033,11.760409057706356,593.0,DC,no,no,True
251,NJ,106,no,no,0,207.9,91,35.34,172.0,109,14.62,191.8,143,8.63,14.4,7,3.89,4,22.224797219003477,5.882852292020373,3.7017994858611827,11.764705882352942,586.1,NJ,no,no,False
415,DE,113,no,no,0,239.7,47,40.75,282.9,110,24.05,238.4,88,10.73,8.7,3,2.35,2,22.21808014911463,5.882208588957055,3.7021276595744674,11.762993762993762,769.7,DE,no,no,True
548,CT,31,no,yes,31,100.1,54,17.02,246.3,97,20.94,255.0,131,11.48,5.9,3,1.59,0,22.212543554006967,5.881316098707403,3.710691823899371,11.7621776504298,607.3,CT,no,yes,False
1201,OH,119,no,yes,35,217.1,92,36.91,220.8,134,18.77,249.5,93,11.23,8.0,5,2.16,2,22.217275155832592,5.8818748306691955,3.7037037037037033,11.763452317527971,695.4000000000001,OH,no,yes,False
743,LA,158,no,no,0,202.0,126,34.34,163.5,86,13.9,195.4,84,8.79,10.4,6,2.81,1,22.229806598407283,5.88235294117647,3.701067615658363,11.762589928057553,571.3,LA,no,no,False
311,TX,110,no,yes,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,22.215496368038743,5.882499377645009,3.7022900763358773,11.765765765765767,625.4,TX,no,yes,False
3076,TX,51,no,no,0,180.5,88,30.69,134.7,102,11.45,170.7,97,7.68,10.0,3,2.7,2,22.2265625,5.88139459107201,3.7037037037037033,11.764192139737991,495.9,TX,no,no,False
899,VA,89,no,yes,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,22.22001982160555,5.882847533632288,3.7021276595744674,11.766368346679227,692.6,VA,no,yes,False
1139,IL,127,no,no,0,220.2,108,37.43,188.4,124,16.01,172.7,113,7.77,11.7,3,3.16,2,22.226512226512227,5.882981565589099,3.70253164556962,11.767645221736414,593.0,IL,no,no,False
1460,MT,80,no,no,0,198.1,160,33.68,156.7,87,13.32,182.1,76,8.19,9.3,3,2.51,3,22.234432234432234,5.881828978622328,3.7051792828685266,11.764264264264263,546.2,MT,no,no,False
3228,OR,27,no,no,0,232.1,81,39.46,210.8,101,17.92,165.4,87,7.44,15.0,6,4.05,5,22.231182795698924,5.881905727318804,3.7037037037037037,11.763392857142856,623.3,OR,no,no,False
15,NY,161,no,no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,22.213001383125864,5.882664781763562,3.6986301369863015,11.766012587930396,816.7,NY,no,no,True
2225,NH,93,no,no,0,179.3,93,30.48,188.8,65,16.05,253.2,88,11.39,12.1,5,3.27,1,22.230026338893765,5.88254593175853,3.7003058103975532,11.763239875389408,633.4000000000001,NH,no,no,False
726,WV,82,no,no,0,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,22.216216216216218,5.88211215718379,3.6966824644549763,11.764300482425913,609.9,WV,no,no,False
1431,NJ,127,no,no,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1,22.213333333333335,5.881775815550649,3.704918032786886,11.760948905109489,629.9000000000001,NJ,no,no,False
2924,WA,96,no,no,0,276.9,105,47.07,246.9,94,20.99,254.4,107,11.45,10.3,3,2.78,1,22.218340611353714,5.882727852135117,3.705035971223022,11.762744163887566,788.4999999999999,WA,no,no,True
987,KS,110,yes,yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,22.23470661672909,5.882740447957839,3.705357142857143,11.76496872207328,717.6,KS,yes,yes,True
2341,LA,40,no,no,0,109.4,107,18.6,244.7,102,20.8,276.9,123,12.46,7.1,7,1.92,0,22.223113964686995,5.881720430107527,3.6979166666666665,11.764423076923077,638.0999999999999,LA,no,no,False
1550,SC,106,no,no,0,52.2,106,8.87,220.1,113,18.71,112.3,95,5.05,11.4,2,3.08,2,22.237623762376238,5.885005636978581,3.7012987012987013,11.763762693746658,396.0,SC,no,no,False
2810,NH,90,no,yes,42,193.3,66,32.86,263.3,85,22.38,214.4,97,9.65,11.1,4,3.0,0,22.21761658031088,5.882531953743153,3.6999999999999997,11.76496872207328,682.1000000000001,NH,no,yes,False
1923,HI,134,no,no,0,242.4,126,41.21,152.9,115,13.0,318.3,115,14.32,11.8,6,3.19,1,22.227653631284916,5.882067459354525,3.699059561128527,11.761538461538462,725.4,HI,no,no,False
1561,MA,80,no,no,0,148.6,106,25.26,210.8,65,17.92,203.7,86,9.17,10.0,2,2.7,2,22.213740458015266,5.882818685669041,3.7037037037037033,11.763392857142856,573.0999999999999,MA,no,no,False
2687,MN,125,yes,yes,29,260.8,81,44.34,163.7,112,13.91,271.7,117,12.23,17.0,6,4.59,1,22.21586263286999,5.881822282363554,3.7037037037037037,11.768511861969804,713.2,MN,yes,yes,True
365,CO,154,no,no,0,350.8,75,59.64,216.5,94,18.4,253.9,100,11.43,10.1,9,2.73,1,22.21347331583552,5.881958417169685,3.6996336996336994,11.766304347826088,831.3000000000001,CO,no,no,True
988,NV,138,no,no,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3,22.22772277227723,5.881949210706932,3.7037037037037037,11.767109295199184,528.1,NV,no,no,False
183,NH,19,no,no,0,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,14.6,7,3.94,2,22.22222222222222,5.881795195954488,3.7055837563451774,11.762257169287697,669.0,NH,no,no,False
991,MI,50,no,yes,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,22.219938335046248,5.882712278558338,3.7089201877934275,11.76675369886858,551.8999999999999,MI,no,yes,False
2250,VT,75,no,no,0,209.4,133,35.6,211.5,121,17.98,291.2,123,13.1,7.2,4,1.94,1,22.229007633587788,5.882022471910112,3.711340206185567,11.763070077864294,719.3,VT,no,no,False
1202,MO,86,no,no,0,83.5,96,14.2,221.1,63,18.79,349.7,75,15.74,12.6,3,3.4,0,22.21728081321474,5.880281690140845,3.7058823529411766,11.766897285790314,666.9,MO,no,no,False
2757,OK,35,no,no,0,179.2,59,30.46,283.3,101,24.08,285.4,83,12.84,5.8,7,1.57,2,22.227414330218068,5.8831254103742605,3.6942675159235665,11.764950166112959,753.7,OK,no,no,False
2334,AL,119,no,no,0,98.8,97,16.8,146.9,68,12.49,190.7,105,8.58,10.0,4,2.7,3,22.226107226107224,5.8809523809523805,3.7037037037037033,11.761409127301842,446.4,AL,no,no,False
1129,AL,71,no,no,0,103.3,103,17.56,138.5,79,11.77,164.8,98,7.42,9.0,2,2.43,2,22.21024258760108,5.882687927107062,3.7037037037037033,11.767204757858964,415.6,AL,no,no,False
2494,AL,148,no,yes,21,262.9,135,44.69,149.5,96,12.71,140.5,109,6.32,8.1,4,2.19,1,22.231012658227847,5.882747818303871,3.6986301369863015,11.762391817466561,561.0,AL,no,yes,False
188,WY,164,no,no,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9.0,3,2.43,1,22.220902612826603,5.882783882783882,3.7037037037037033,11.766402307137707,519.9,WY,no,no,False
623,LA,172,no,no,0,215.7,140,36.67,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,22.21662468513854,5.882192527952004,3.6979166666666665,11.760450160771706,633.7,LA,no,no,False
1989,MT,124,no,yes,30,144.5,35,24.57,262.3,101,22.3,226.5,82,10.19,12.0,7,3.24,2,22.22767419038273,5.881155881155881,3.7037037037037033,11.762331838565023,645.3,MT,no,yes,False
1183,IN,154,no,yes,32,192.3,82,32.69,165.3,134,14.05,205.0,74,9.23,9.0,1,2.43,2,22.210184182015166,5.882532884674213,3.7037037037037033,11.765124555160142,571.6,IN,no,yes,False
1190,NE,149,no,no,0,156.0,56,26.52,56.0,116,4.76,163.3,104,7.35,8.9,8,2.4,0,22.217687074829936,5.882352941176471,3.7083333333333335,11.764705882352942,384.2,NE,no,no,False
2647,SC,116,no,no,0,288.0,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0,22.228571428571428,5.88235294117647,3.701657458563536,11.766329346826128,790.5999999999999,SC,no,no,True
3278,WI,87,no,no,0,238.0,97,40.46,164.5,97,13.98,282.5,132,12.71,10.6,6,2.86,2,22.226593233674272,5.88235294117647,3.7062937062937062,11.766809728183118,695.6,WI,no,no,False
618,VA,153,no,no,0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,22.20839813374806,5.881998795906081,3.7060702875399363,11.76560121765601,504.4000000000001,VA,no,no,False
1524,CA,93,no,yes,19,136.8,113,23.26,179.5,105,15.26,71.1,95,3.2,12.5,3,3.38,2,22.218749999999996,5.88134135855546,3.698224852071006,11.762778505897773,399.9,CA,no,yes,False
1477,RI,112,no,no,0,168.6,102,28.66,298.0,117,25.33,194.7,110,8.76,9.8,5,2.65,1,22.226027397260275,5.882763433356594,3.6981132075471703,11.764705882352942,671.0999999999999,RI,no,no,False
403,KY,119,no,no,0,222.8,122,37.88,163.2,107,13.87,160.6,112,7.23,11.2,6,3.02,1,22.213001383125864,5.881731784582893,3.7086092715231787,11.766402307137707,557.8,KY,no,no,False
1000,MI,133,no,no,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,22.21590909090909,5.882477725922783,3.6994219653179194,11.767130345182895,635.8000000000001,MI,no,no,True
940,DE,117,no,no,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,22.212581344902386,5.881533101045297,3.699284009546539,11.764132553606238,630.5,DE,no,no,False
373,NY,32,no,no,0,164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4.0,2,22.217795484727755,5.881513204853676,3.7,11.765609007164791,576.8000000000001,NY,no,no,False
2206,VA,67,no,no,0,176.2,120,29.95,236.0,138,20.06,152.5,104,6.86,10.6,4,2.86,1,22.230320699708454,5.883138564273789,3.7062937062937062,11.764705882352942,575.3,VA,no,no,False
2410,CO,90,no,no,0,109.9,102,18.68,220.8,114,18.77,104.0,133,4.68,10.9,6,2.94,0,22.222222222222225,5.883297644539615,3.7074829931972793,11.763452317527971,445.6,CO,no,no,False
597,NY,39,no,no,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,22.219074598678,5.8819215254858825,3.6991869918699187,11.766055045871559,507.4000000000001,NY,no,no,False
2201,NY,116,no,no,0,89.5,128,15.22,180.8,137,15.37,193.1,94,8.69,14.0,3,3.78,2,22.220943613348677,5.88042049934297,3.7037037037037037,11.763175016265453,477.40000000000003,NY,no,no,False
731,WY,90,no,no,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8.0,1,2.16,2,22.229862475442044,5.883021010789324,3.7037037037037033,11.765888978278358,734.0,WY,no,no,False
831,NH,88,no,no,0,202.2,86,34.37,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19,2,22.22841225626741,5.8830375327320334,3.699059561128527,11.763429191535542,670.2,NH,no,no,False
1532,CA,103,no,yes,18,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11,0,22.21502590673575,5.883045525902669,3.6977491961414795,11.7618719889883,503.79999999999995,CA,no,yes,True
2263,UT,32,no,yes,26,243.5,137,41.4,236.8,108,20.13,173.3,149,7.8,9.0,9,2.43,1,22.21794871794872,5.881642512077295,3.7037037037037033,11.76353700943865,662.6,UT,no,yes,False
