,state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,average_night_rate_by_min,average_day_rate_by_min,average_intl_rate_by_min,average_eve_rate_by_min,total_minutes,churn
311,TX,110,no,yes,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,0.04501362397820163,0.16999576809140923,0.2701030927835052,0.08499234303215926,625.4,False
3076,TX,51,no,no,0,180.5,88,30.69,134.7,102,11.45,170.7,97,7.68,10.0,3,2.7,2,0.04499121265377856,0.17002770083102495,0.27,0.08500371195248702,495.9,False
899,VA,89,no,yes,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,0.045004460303300624,0.16998570747975225,0.2701149425287357,0.08498799039231385,692.6,False
1139,IL,127,no,no,0,220.2,108,37.43,188.4,124,16.01,172.7,113,7.77,11.7,3,3.16,2,0.04499131441806601,0.16998183469573117,0.2700854700854701,0.0849787685774947,593.0,False
1460,MT,80,no,no,0,198.1,160,33.68,156.7,87,13.32,182.1,76,8.19,9.3,3,2.51,3,0.04497528830313015,0.17001514386673397,0.2698924731182795,0.08500319081046587,546.2,False
3228,OR,27,no,no,0,232.1,81,39.46,210.8,101,17.92,165.4,87,7.44,15.0,6,4.05,5,0.04498186215235792,0.17001292546316243,0.26999999999999996,0.08500948766603415,623.3,False
15,NY,161,no,no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,0.0450186799501868,0.16999098828477022,0.27037037037037037,0.08499056010069227,816.7,True
2225,NH,93,no,no,0,179.3,93,30.48,188.8,65,16.05,253.2,88,11.39,12.1,5,3.27,1,0.04498420221169037,0.16999442275515894,0.2702479338842975,0.08501059322033898,633.4000000000001,False
726,WV,82,no,no,0,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,0.045012165450121655,0.1700069589422408,0.2705128205128205,0.08500292911540715,609.9,False
1431,NJ,127,no,no,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1,0.04501800720288115,0.17001668056713928,0.26991150442477874,0.08502715283165245,629.9000000000001,False
2924,WA,96,no,no,0,276.9,105,47.07,246.9,94,20.99,254.4,107,11.45,10.3,3,2.78,1,0.04500786163522012,0.16998916576381368,0.2699029126213592,0.08501417577966787,788.4999999999999,True
987,KS,110,yes,yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,0.04497473329590118,0.16998880179171333,0.26987951807228916,0.08499810102544625,717.6,True
2341,LA,40,no,no,0,109.4,107,18.6,244.7,102,20.8,276.9,123,12.46,7.1,7,1.92,0,0.04499819429396895,0.170018281535649,0.27042253521126763,0.085002043318349,638.0999999999999,False
1550,SC,106,no,no,0,52.2,106,8.87,220.1,113,18.71,112.3,95,5.05,11.4,2,3.08,2,0.044968833481745324,0.16992337164750956,0.27017543859649124,0.08500681508405271,396.0,False
2810,NH,90,no,yes,42,193.3,66,32.86,263.3,85,22.38,214.4,97,9.65,11.1,4,3.0,0,0.04500932835820896,0.1699948266942576,0.2702702702702703,0.08499810102544625,682.1000000000001,False
1923,HI,134,no,no,0,242.4,126,41.21,152.9,115,13.0,318.3,115,14.32,11.8,6,3.19,1,0.044989004084197294,0.1700082508250825,0.2703389830508474,0.08502289077828645,725.4,False
1561,MA,80,no,no,0,148.6,106,25.26,210.8,65,17.92,203.7,86,9.17,10.0,2,2.7,2,0.04501718213058419,0.16998654104979813,0.27,0.08500948766603415,573.0999999999999,False
2687,MN,125,yes,yes,29,260.8,81,44.34,163.7,112,13.91,271.7,117,12.23,17.0,6,4.59,1,0.04501288185498712,0.1700153374233129,0.27,0.08497251069028712,713.2,True
365,CO,154,no,no,0,350.8,75,59.64,216.5,94,18.4,253.9,100,11.43,10.1,9,2.73,1,0.04501772351319417,0.17001140250855187,0.2702970297029703,0.08498845265588914,831.3000000000001,True
988,NV,138,no,no,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3,0.04498886414253898,0.17001166861143524,0.27,0.08498263888888888,528.1,False
183,NH,19,no,no,0,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,14.6,7,3.94,2,0.045000000000000005,0.17001612036539496,0.26986301369863014,0.08501769563507668,669.0,False
991,MI,50,no,yes,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,0.04500462534690102,0.1699896157840083,0.26962025316455696,0.08498520710059172,551.8999999999999,False
2250,VT,75,no,no,0,209.4,133,35.6,211.5,121,17.98,291.2,123,13.1,7.2,4,1.94,1,0.044986263736263736,0.17000955109837632,0.26944444444444443,0.08501182033096927,719.3,False
1202,MO,86,no,no,0,83.5,96,14.2,221.1,63,18.79,349.7,75,15.74,12.6,3,3.4,0,0.04501000857878182,0.17005988023952096,0.2698412698412698,0.08498417005879692,666.9,False
2757,OK,35,no,no,0,179.2,59,30.46,283.3,101,24.08,285.4,83,12.84,5.8,7,1.57,2,0.04498948843728101,0.1699776785714286,0.27068965517241383,0.08499823508648076,753.7,False
2334,AL,119,no,no,0,98.8,97,16.8,146.9,68,12.49,190.7,105,8.58,10.0,4,2.7,3,0.04499213424226534,0.17004048582995954,0.27,0.08502382573179033,446.4,False
1129,AL,71,no,no,0,103.3,103,17.56,138.5,79,11.77,164.8,98,7.42,9.0,2,2.43,2,0.045024271844660194,0.16999031945788964,0.27,0.08498194945848375,415.6,False
2494,AL,148,no,yes,21,262.9,135,44.69,149.5,96,12.71,140.5,109,6.32,8.1,4,2.19,1,0.044982206405693954,0.1699885888170407,0.27037037037037037,0.08501672240802677,561.0,False
188,WY,164,no,no,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9.0,3,2.43,1,0.0450026723677178,0.16998754669987548,0.27,0.08498774509803922,519.9,False
623,LA,172,no,no,0,215.7,140,36.67,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,0.04501133786848072,0.17000463606861382,0.27042253521126763,0.08503075871496923,633.7,False
1989,MT,124,no,yes,30,144.5,35,24.57,262.3,101,22.3,226.5,82,10.19,12.0,7,3.24,2,0.04498896247240618,0.17003460207612456,0.27,0.08501715592832634,645.3,False
1183,IN,154,no,yes,32,192.3,82,32.69,165.3,134,14.05,205.0,74,9.23,9.0,1,2.43,2,0.045024390243902444,0.16999479979199167,0.27,0.08499697519661222,571.6,False
1190,NE,149,no,no,0,156.0,56,26.52,56.0,116,4.76,163.3,104,7.35,8.9,8,2.4,0,0.045009185548071026,0.16999999999999998,0.2696629213483146,0.08499999999999999,384.2,False
2647,SC,116,no,no,0,288.0,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0,0.04498714652956298,0.17,0.2701492537313433,0.0849882720875684,790.5999999999999,True
3278,WI,87,no,no,0,238.0,97,40.46,164.5,97,13.98,282.5,132,12.71,10.6,6,2.86,2,0.04499115044247788,0.17,0.269811320754717,0.08498480243161094,695.6,False
618,VA,153,no,no,0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,0.045028011204481785,0.17001023541453428,0.26982758620689656,0.08499353169469599,504.4000000000001,False
1524,CA,93,no,yes,19,136.8,113,23.26,179.5,105,15.26,71.1,95,3.2,12.5,3,3.38,2,0.04500703234880451,0.17002923976608186,0.2704,0.08501392757660167,399.9,False
1477,RI,112,no,no,0,168.6,102,28.66,298.0,117,25.33,194.7,110,8.76,9.8,5,2.65,1,0.04499229583975347,0.16998813760379597,0.2704081632653061,0.08499999999999999,671.0999999999999,False
403,KY,119,no,no,0,222.8,122,37.88,163.2,107,13.87,160.6,112,7.23,11.2,6,3.02,1,0.0450186799501868,0.17001795332136446,0.2696428571428572,0.08498774509803922,557.8,False
1000,MI,133,no,no,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,0.04501278772378517,0.16999639379733142,0.27031249999999996,0.08498248686514887,635.8000000000001,True
940,DE,117,no,no,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,0.04501953125,0.17002369668246445,0.2703225806451613,0.08500414250207125,630.5,False
373,NY,32,no,no,0,164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4.0,2,0.04500896592946802,0.17002427184466018,0.27027027027027023,0.08499347542409742,576.8000000000001,False
2206,VA,67,no,no,0,176.2,120,29.95,236.0,138,20.06,152.5,104,6.86,10.6,4,2.86,1,0.04498360655737705,0.1699772985244041,0.269811320754717,0.08499999999999999,575.3,False
2410,CO,90,no,no,0,109.9,102,18.68,220.8,114,18.77,104.0,133,4.68,10.9,6,2.94,0,0.045,0.16997270245677887,0.2697247706422018,0.08500905797101449,445.6,False
597,NY,39,no,no,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,0.045006374840628985,0.17001246882793017,0.2703296703296703,0.08499025341130606,507.4000000000001,False
2201,NY,116,no,no,0,89.5,128,15.22,180.8,137,15.37,193.1,94,8.69,14.0,3,3.78,2,0.04500258933195236,0.17005586592178773,0.26999999999999996,0.08501106194690264,477.40000000000003,False
731,WY,90,no,no,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8.0,1,2.16,2,0.04498453380468404,0.16998069498069499,0.27,0.08499145299145298,734.0,False
831,NH,88,no,no,0,202.2,86,34.37,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19,2,0.044987468671679194,0.16998021760633036,0.2703389830508474,0.08500922509225092,670.2,False
1532,CA,103,no,yes,18,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11,0,0.04501457725947522,0.16997998665777184,0.27043478260869563,0.085020479812756,503.79999999999995,True
2263,UT,32,no,yes,26,243.5,137,41.4,236.8,108,20.13,173.3,149,7.8,9.0,9,2.43,1,0.04500865551067513,0.1700205338809035,0.27,0.08500844594594593,662.6,False
691,MS,137,no,no,0,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,0.04499131441806601,0.16997282608695652,0.26960784313725494,0.0850103734439834,522.9,False
2465,IN,88,no,no,0,183.5,93,31.2,170.5,80,14.49,193.8,88,8.72,8.3,5,2.24,3,0.04499484004127967,0.17002724795640325,0.26987951807228916,0.08498533724340177,556.1,False
136,NY,75,no,yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,0.04501052631578947,0.17002275312855517,0.269811320754717,0.08501149425287356,636.1,False
2717,IL,142,no,yes,38,163.3,104,27.76,136.0,114,11.56,249.1,127,11.21,4.3,6,1.16,0,0.045002007226013656,0.16999387630128598,0.2697674418604651,0.085,552.7,False
632,ND,68,no,yes,22,82.5,97,14.03,289.9,94,24.64,180.0,114,8.1,4.8,4,1.3,3,0.045,0.17006060606060605,0.27083333333333337,0.0849948258020007,557.2,False
335,KY,151,no,yes,17,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,1,0.04500295683027795,0.17000465766185377,0.2697674418604651,0.08498194945848375,530.9,False
1817,SD,116,no,no,0,167.8,119,28.53,142.0,123,12.07,190.7,128,8.58,7.3,4,1.97,2,0.04499213424226534,0.1700238379022646,0.26986301369863014,0.085,507.8,False
392,MD,98,no,no,0,206.5,92,35.11,176.2,152,14.98,232.8,115,10.48,12.4,5,3.35,5,0.04501718213058419,0.17002421307506052,0.2701612903225806,0.08501702610669694,627.9,False
2568,MS,102,yes,no,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12.0,8,3.24,3,0.04499323410013532,0.1699821587867975,0.27,0.08499794492396218,627.3,False
1117,FL,136,yes,no,0,199.2,122,33.86,214.7,114,18.25,150.9,105,6.79,11.8,7,3.19,1,0.04499668654738237,0.16997991967871487,0.2703389830508474,0.08500232883092688,576.6,False
2951,TX,53,no,no,0,119.7,113,20.35,189.7,84,16.12,256.2,108,11.53,12.9,7,3.48,2,0.045003903200624515,0.17000835421888055,0.2697674418604651,0.08497627833421192,578.5,False
1829,AR,89,no,yes,25,215.1,140,36.57,197.4,69,16.78,162.1,117,7.29,10.6,10,2.86,1,0.04497223935842073,0.17001394700139472,0.269811320754717,0.08500506585612969,585.2,False
2894,CT,37,no,no,0,134.9,98,22.93,248.4,130,21.11,236.2,113,10.63,14.7,2,3.97,3,0.045004233700254026,0.16997776130467013,0.27006802721088435,0.08498389694041868,634.2,False
3199,WA,152,no,no,0,161.4,84,27.44,163.6,88,13.91,153.2,121,6.89,11.8,5,3.19,1,0.04497389033942559,0.17001239157372985,0.2703389830508474,0.08502444987775061,490.0,False
715,WV,115,yes,no,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,0.04502307185234015,0.16998799519807922,0.2699346405228758,0.08498969072164948,659.4000000000001,True
1046,RI,158,no,no,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,0.04500642948992713,0.1699864191942055,0.27031249999999996,0.08501238645747317,702.8,False
2186,NM,41,no,no,0,232.1,74,39.46,327.1,88,27.8,226.5,119,10.19,10.9,2,2.94,3,0.04498896247240618,0.17001292546316243,0.2697247706422018,0.08498929990828492,796.6,True
2169,IL,156,no,no,0,174.5,65,29.67,197.4,116,16.78,238.5,86,10.73,10.6,2,2.86,0,0.044989517819706504,0.17002865329512895,0.269811320754717,0.08500506585612969,621.0,False
3033,KY,135,no,no,0,144.1,115,24.5,249.8,68,21.23,211.4,82,9.51,13.6,3,3.67,1,0.04498580889309366,0.17002081887578072,0.2698529411764706,0.08498799039231385,618.9000000000001,False
1573,AZ,127,no,yes,14,143.2,99,24.34,169.9,91,14.44,221.6,77,9.97,11.6,1,3.13,1,0.04499097472924188,0.16997206703910617,0.26982758620689656,0.08499117127722189,546.3,False
2288,NE,34,no,no,0,193.7,74,32.93,126.9,84,10.79,221.2,166,9.95,8.8,4,2.38,0,0.04498191681735986,0.17000516262261228,0.27045454545454545,0.08502758077226161,550.6,False
3062,DE,114,no,yes,31,222.8,98,37.88,180.5,105,15.34,151.3,101,6.81,13.0,4,3.51,0,0.045009914077990744,0.17001795332136446,0.26999999999999996,0.08498614958448754,567.6,False
1957,KY,147,no,no,0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,0.045006402048655574,0.17001879699248118,0.26960784313725494,0.08500734933855954,583.3,False
1606,CT,95,no,no,0,198.4,113,33.73,235.9,144,20.05,325.6,99,14.65,10.1,3,2.73,0,0.044993857493857495,0.17001008064516127,0.2702970297029703,0.08499364137346334,770.0,False
3161,NV,148,no,no,0,216.2,95,36.75,185.7,105,15.78,300.0,143,13.5,10.0,5,2.7,2,0.045,0.16998149861239595,0.27,0.08497576736672052,711.9000000000001,False
2798,MN,30,no,no,0,54.0,68,9.18,179.3,96,15.24,247.2,101,11.12,10.2,8,2.75,1,0.04498381877022654,0.16999999999999998,0.26960784313725494,0.08499721137757947,490.7,False
1120,KY,107,no,no,0,157.1,79,26.71,162.6,124,13.82,150.0,138,6.75,12.1,6,3.27,1,0.045,0.17001909611712288,0.2702479338842975,0.08499384993849939,481.80000000000007,False
467,MD,112,no,no,0,170.4,103,28.97,200.2,71,17.02,258.3,100,11.62,11.6,4,3.13,1,0.04498644986449864,0.17001173708920186,0.26982758620689656,0.08501498501498501,640.5,False
1572,MA,57,no,no,0,154.2,78,26.21,196.7,85,16.72,253.5,97,11.41,10.1,9,2.73,1,0.045009861932938856,0.16997405966277562,0.2702970297029703,0.08500254194204372,614.5,False
1231,CO,105,no,no,0,270.9,98,46.05,226.2,110,19.23,178.8,60,8.05,8.8,5,2.38,0,0.045022371364653244,0.1699889258028793,0.27045454545454545,0.08501326259946951,684.7,True
2227,SC,41,no,no,0,237.8,92,40.43,223.5,155,19.0,217.4,90,9.78,10.2,6,2.75,2,0.04498620055197792,0.17001682085786374,0.26960784313725494,0.08501118568232663,688.9000000000001,False
3296,CT,74,no,no,0,203.8,77,34.65,205.1,111,17.43,154.9,109,6.97,9.0,2,2.43,1,0.044996772111039376,0.1700196270853778,0.27,0.08498293515358361,572.8000000000001,False
2608,IN,81,no,yes,46,168.3,124,28.61,270.9,103,23.03,222.5,98,10.01,6.7,2,1.81,4,0.04498876404494382,0.16999405822935232,0.2701492537313433,0.08501291989664084,668.4,False
1519,CT,134,no,no,0,177.2,91,30.12,228.7,105,19.44,194.3,113,8.74,8.9,3,2.4,2,0.04498198661863098,0.16997742663656887,0.2696629213483146,0.085002186270223,609.0999999999999,False
1762,HI,146,no,no,0,189.3,77,32.18,155.9,128,13.25,186.0,83,8.37,7.4,3,2.0,0,0.045,0.1699947173798204,0.27027027027027023,0.08499037844772289,538.6,False
1112,ID,82,no,no,0,101.0,93,17.17,155.6,104,13.23,304.4,93,13.7,13.3,2,3.59,0,0.04500657030223391,0.17,0.2699248120300752,0.08502570694087404,574.3,False
664,ND,147,no,no,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,0.045012468827930176,0.16999512907939598,0.2705128205128205,0.08500299940011997,620.4,False
2026,NV,69,no,no,0,153.7,109,26.13,194.0,105,16.49,256.1,114,11.52,14.1,6,3.81,1,0.04498242873877391,0.17000650618087185,0.2702127659574468,0.08499999999999999,617.9000000000001,False
2983,HI,150,no,no,0,214.0,117,36.38,192.4,89,16.35,242.6,99,10.92,7.9,4,2.13,1,0.0450123660346249,0.17,0.26962025316455696,0.08497920997920999,656.9,False
339,AK,78,no,no,0,225.1,67,38.27,199.2,127,16.93,175.5,102,7.9,14.6,2,3.94,0,0.045014245014245016,0.17001332741004,0.26986301369863014,0.08498995983935743,614.4000000000001,False
216,FL,93,no,no,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,0.04498550724637681,0.1700132100396301,0.2697247706422018,0.08497854077253218,521.1999999999999,False
1627,OH,29,no,no,0,196.8,81,33.46,168.0,110,14.28,132.6,98,5.97,12.7,7,3.43,2,0.04502262443438914,0.17002032520325203,0.27007874015748035,0.08499999999999999,510.09999999999997,False
1350,WA,55,no,no,0,285.7,124,48.57,230.9,106,19.63,230.7,140,10.38,14.8,7,4.0,0,0.04499349804941483,0.17000350017500876,0.27027027027027023,0.08501515807708965,762.0999999999999,True
2792,NC,129,no,no,0,54.7,131,9.3,256.1,105,21.77,176.6,135,7.95,11.1,4,3.0,1,0.045016987542468856,0.170018281535649,0.2702702702702703,0.08500585708707535,498.5,False
2617,SD,64,no,no,0,174.5,98,29.67,180.2,103,15.32,179.0,89,8.06,10.7,2,2.89,2,0.04502793296089386,0.17002865329512895,0.27009345794392525,0.08501664816870146,544.4,False
3116,OK,149,no,no,0,187.6,83,31.89,201.4,81,17.12,264.2,79,11.89,8.8,1,2.38,1,0.04500378501135504,0.16998933901918978,0.27045454545454545,0.08500496524329693,662.0,False
1858,DE,133,no,no,0,245.8,102,41.79,264.7,90,22.5,111.7,103,5.03,11.2,7,3.02,0,0.0450313339301701,0.17001627339300243,0.2696428571428572,0.08500188893086513,633.4,False
1604,ME,105,no,no,0,115.5,73,19.64,267.3,83,22.72,114.2,90,5.14,13.3,5,3.59,3,0.04500875656742556,0.17004329004329005,0.2699248120300752,0.08499812944257389,510.3,False
2159,KS,132,no,no,0,190.1,105,32.32,182.2,116,15.49,279.8,105,12.59,13.0,2,3.51,1,0.0449964260185847,0.1700157811678064,0.26999999999999996,0.08501646542261251,665.0999999999999,False
2363,VT,116,no,no,0,129.4,84,22.0,157.3,89,13.37,215.5,77,9.7,13.3,3,3.59,0,0.04501160092807424,0.17001545595054096,0.2699248120300752,0.08499682136045772,515.5,False
2801,HI,3,no,no,0,139.0,99,23.63,250.7,108,21.31,286.2,87,12.88,6.1,3,1.65,4,0.04500349406009784,0.16999999999999998,0.27049180327868855,0.08500199441563622,682.0,False
821,MN,80,no,no,0,105.8,110,17.99,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54,0,0.044989451476793244,0.17003780718336484,0.2702290076335878,0.08496583143507973,352.4,False
1990,DE,99,no,no,0,140.7,88,23.92,210.9,98,17.93,229.9,125,10.35,12.4,4,3.35,2,0.04501957372770769,0.17000710732054017,0.2701612903225806,0.08501659554291133,593.9,False
1074,ME,177,no,no,0,232.8,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2,0.04500471253534402,0.17001718213058417,0.2704,0.08498858447488586,632.7,False
2296,KY,109,no,no,0,175.6,80,29.85,238.0,94,20.23,198.4,103,8.93,10.2,6,2.75,1,0.045010080645161286,0.16998861047835992,0.26960784313725494,0.085,622.2,False
275,WA,83,no,no,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,0.044979591836734695,0.17000903342366758,0.2704081632653061,0.08498705780845556,585.5,False
2984,KS,73,no,no,0,194.8,112,33.12,167.2,85,14.21,100.3,61,4.51,10.8,6,2.92,1,0.04496510468594217,0.17002053388090346,0.27037037037037037,0.08498803827751197,473.1,False
870,OH,123,no,no,0,105.0,150,17.85,251.6,90,21.39,258.0,93,11.61,14.9,5,4.02,0,0.045,0.17,0.2697986577181208,0.08501589825119238,629.5,False
101,MA,108,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0.04500387296669248,0.16999439147504206,0.26986301369863014,0.08502645502645503,511.0,False
1512,MO,22,no,yes,14,199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13,1,0.04505327245053272,0.17001506780512307,0.26904761904761904,0.08498647430117223,490.8,False
2394,IN,57,no,no,0,189.3,157,32.18,174.9,70,14.87,221.9,117,9.99,11.2,5,3.02,3,0.04502027940513745,0.1699947173798204,0.2696428571428572,0.08502001143510576,597.3000000000001,False
171,NH,64,no,yes,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,0.044990892531876145,0.1700164744645799,0.269811320754717,0.08497348261638185,527.0999999999999,False
107,NM,93,no,yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,0.04497695852534562,0.16997455470737913,0.2704081632653061,0.08498480243161094,509.2,False
2961,KY,98,no,yes,36,168.0,81,28.56,163.2,125,13.87,172.7,120,7.77,8.0,2,2.16,6,0.04499131441806601,0.16999999999999998,0.27,0.08498774509803922,511.9,True
3317,SD,163,yes,no,0,197.2,90,33.52,188.5,113,16.02,211.1,94,9.5,7.8,8,2.11,1,0.045002368545712934,0.1699797160243408,0.2705128205128205,0.0849867374005305,604.5999999999999,False
2451,NC,182,no,no,0,279.5,118,47.52,203.2,113,17.27,174.2,101,7.84,10.7,4,2.89,2,0.04500574052812859,0.17001788908765655,0.27009345794392525,0.08499015748031497,667.5999999999999,True
2230,NC,109,yes,no,0,209.1,141,35.55,205.0,93,17.43,119.4,111,5.37,7.8,3,2.11,2,0.0449748743718593,0.17001434720229555,0.2705128205128205,0.08502439024390243,541.3,False
3032,WV,173,no,no,0,109.4,103,18.6,101.3,111,8.61,167.3,106,7.53,7.8,7,2.11,1,0.04500896592946802,0.170018281535649,0.2705128205128205,0.08499506416584403,385.80000000000007,False
2237,NV,88,no,no,0,166.7,61,28.34,179.3,88,15.24,242.7,131,10.92,6.8,7,1.84,4,0.0449938195302843,0.17000599880023995,0.2705882352941177,0.08499721137757947,595.5,True
2693,UT,164,no,no,0,192.1,95,32.66,249.8,94,21.23,132.6,100,5.97,7.3,3,1.97,3,0.04502262443438914,0.1700156168662155,0.26986301369863014,0.08498799039231385,581.8,False
2600,NY,148,no,no,0,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,1,0.04499517219182492,0.1700095969289827,0.2696428571428572,0.08497706422018349,704.7,False
2857,NY,160,no,no,0,216.8,77,36.86,207.3,117,17.62,228.6,117,10.29,5.6,2,1.51,1,0.04501312335958005,0.17001845018450185,0.2696428571428572,0.08499758803666184,658.3,False
1047,NV,102,no,no,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,0.04499080882352941,0.17001385041551245,0.27042253521126763,0.0849906191369606,635.6,False
1535,ME,99,no,no,0,222.4,102,37.81,185.8,89,15.79,237.7,81,10.7,12.0,8,3.24,2,0.04501472444257467,0.1700089928057554,0.27,0.08498385360602798,657.9000000000001,False
2843,SD,116,no,no,0,63.7,101,10.83,195.8,95,16.64,210.1,87,9.45,10.0,6,2.7,1,0.044978581627796284,0.17001569858712715,0.27,0.08498467824310521,479.6,False
483,GA,117,no,no,0,149.9,95,25.48,256.1,110,21.77,212.7,92,9.57,13.3,13,3.59,2,0.044992947813822286,0.16997998665777184,0.2699248120300752,0.08500585708707535,632.0,False
2373,RI,83,no,no,0,259.7,106,44.15,152.7,116,12.98,224.7,92,10.11,10.2,2,2.75,0,0.04499332443257677,0.1700038505968425,0.26960784313725494,0.08500327439423708,647.3,False
3195,ID,77,no,yes,29,211.1,89,35.89,223.5,97,19.0,148.4,106,6.68,9.7,9,2.62,2,0.04501347708894878,0.1700142112742776,0.2701030927835052,0.08501118568232663,592.7,False
1774,NY,21,no,no,0,244.7,81,41.6,168.0,117,14.28,281.5,87,12.67,6.6,1,1.78,1,0.0450088809946714,0.170004086636698,0.2696969696969697,0.08499999999999999,700.8000000000001,False
2721,ND,50,no,no,0,295.3,127,50.2,127.4,100,10.83,166.8,105,7.51,9.6,6,2.59,1,0.04502398081534772,0.16999661361327464,0.26979166666666665,0.08500784929356357,599.1,False
2821,TX,130,no,no,0,252.0,101,42.84,170.2,105,14.47,209.2,64,9.41,5.7,5,1.54,0,0.04498087954110899,0.17,0.27017543859649124,0.08501762632197415,637.0999999999999,False
2844,NH,161,no,no,0,173.4,100,29.48,213.7,74,18.16,141.5,69,6.37,11.5,4,3.11,1,0.04501766784452297,0.17001153402537486,0.27043478260869563,0.08497894244267666,540.0999999999999,False
407,DE,122,no,no,0,157.1,134,26.71,184.9,122,15.72,197.2,59,8.87,8.5,5,2.3,4,0.04497971602434077,0.17001909611712288,0.27058823529411763,0.08501892915089238,547.6999999999999,True
762,WY,161,yes,no,0,189.6,78,32.23,267.4,117,22.73,184.5,137,8.3,1.3,6,0.35,1,0.04498644986449865,0.16998945147679323,0.2692307692307692,0.08500373971578161,642.8,False
2182,ID,170,no,yes,37,178.1,130,30.28,242.8,103,20.64,243.0,93,10.93,13.0,4,3.51,0,0.04497942386831275,0.17001684446939921,0.26999999999999996,0.08500823723228995,676.9000000000001,False
97,AZ,99,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0.04499738082765846,0.16997981836528758,0.2701149425287357,0.08499758803666184,605.1,False
1341,IL,31,no,yes,28,210.5,101,35.79,250.5,86,21.29,241.6,125,10.87,11.5,2,3.11,1,0.04499172185430463,0.17002375296912114,0.27043478260869563,0.08499001996007984,714.1,False
2652,NY,111,no,no,0,181.8,117,30.91,158.1,91,13.44,266.2,123,11.98,9.7,9,2.62,0,0.04500375657400451,0.17002200220022,0.2701030927835052,0.08500948766603415,615.8,False
3077,FL,102,no,yes,29,214.7,86,36.5,314.3,109,26.72,280.2,110,12.61,14.3,2,3.86,0,0.045003568879371875,0.17000465766185377,0.2699300699300699,0.08501431753102132,823.5,False
3203,PA,142,no,yes,40,230.7,101,39.22,256.8,88,21.83,263.9,92,11.88,6.4,3,1.73,1,0.045017051913603646,0.17000433463372344,0.27031249999999996,0.08500778816199375,757.8,False
2070,RI,75,no,no,0,190.5,91,32.39,178.4,75,15.16,162.4,113,7.31,13.1,5,3.54,1,0.04501231527093596,0.1700262467191601,0.2702290076335878,0.08497757847533632,544.4,False
